Rank,Name,Year,Publisher,Global_Sales_Millions
5204,NFL GameDay 2001,2000,Sony Computer Entertainment,0.36
5208,Tetrisphere,1997,Nintendo,0.36
5216,MechAssault 2: Lone Wolf,2004,Microsoft Game Studios,0.36
5224,Kinectimals: Now with Bears!,2011,Microsoft Game Studios,0.36
5237,Arc the Lad: Twilight of the Spirits,2003,Sony Computer Entertainment,0.36
5266,SOCOM: Tactical Strike,2007,Sony Computer Entertainment,0.35
5267,Blasto,1998,Sony Computer Entertainment,0.35
5268,Trauma Center: Second Opinion,2006,Nintendo,0.35
5274,Picross 2,1996,Nintendo,0.35
5276,Battalion Wars 2,2007,Nintendo,0.35
5289,Fossil Fighters: Frontier,2014,Nintendo,0.35
5290,Star Fox: Zero,2016,Nintendo,0.35
5293,Stunt Race FX,1993,Nintendo,0.35
5317,Xbox Music Mixer,2003,Microsoft Game Studios,0.35
5319,The Shoot,2010,Sony Computer Entertainment,0.35
5343,MLB 06: The Show,2006,Sony Computer Entertainment,0.35
5351,Kurushi Final: Mental Blocks,1998,Sony Computer Entertainment,0.34
5361,Etrian Odyssey,2007,Nintendo,0.34
5363,Classic NES Series: Ice Climber,2004,Nintendo,0.34
5367,Tenchu Z,2006,Microsoft Game Studios,0.34
5376,MotorStorm: Arctic Edge,2009,Sony Computer Entertainment,0.34
5386,Kameo: Elements of Power,2005,Microsoft Game Studios,0.34
5408,Point Blank,1997,Sony Computer Entertainment,0.34
5415,Tiny Tank,1998,Sony Computer Entertainment,0.34
5421,Zoo Tycoon (2013),2013,Microsoft Game Studios,0.34
5427,Buzz! The Ultimate Music Quiz,2010,Sony Computer Entertainment,0.34
5429,The Eye of Judgment,2007,Sony Computer Entertainment,0.34
5431,Modnation Racers: Road Trip,2012,Sony Computer Entertainment,0.34
5443,Ninja Blade,2009,Microsoft Game Studios,0.33
5448,Pandora's Tower,2011,Nintendo,0.33
5453,Bomberman World,1998,Sony Computer Entertainment,0.33
5463,Ape Escape Academy,2004,Sony Computer Entertainment,0.33
5465,SingStar Take That,2009,Sony Computer Entertainment,0.33
5469,Planet Puzzle League,2007,Nintendo,0.33
5475,Klonoa 2: Lunatea's Veil,2001,Sony Computer Entertainment,0.33
5479,Disney's Treasure Planet,2002,Sony Computer Entertainment,0.33
5481,Jeanne d'Arc,2006,Sony Computer Entertainment,0.33
5493,Little Deviants,2011,Sony Computer Entertainment,0.33
5500,MLB 09: The Show,2009,Sony Computer Entertainment,0.33
5502,Cool Boarders 2001,2001,Sony Computer Entertainment,0.33
5503,Classic NES Series: Castlevania,2004,Nintendo,0.33
5529,DiRT 2,2009,Sony Computer Entertainment,0.33
5533,MLB 08: The Show,2008,Sony Computer Entertainment,0.33
5539,NCAA GameBreaker 2001,2000,Sony Computer Entertainment,0.33
5555,Folklore,2007,Sony Computer Entertainment,0.33
5569,Dr. Mario / Puzzle League,2005,Nintendo,0.33
5574,God of War Collection,2014,Sony Computer Entertainment,0.33
5599,Kinetica,2001,Sony Computer Entertainment,0.32
5614,ESPN X-Games Pro Boarder,1997,Sony Computer Entertainment,0.32
5631,Sky Odyssey,2000,Sony Computer Entertainment,0.32
5634,Kirby's Block Ball,1995,Nintendo,0.32
5639,Rally Cross,1997,Sony Computer Entertainment,0.32
5675,NFL Fever 2004,2003,Microsoft Game Studios,0.32
5689,"Monsters, Inc.",2002,Sony Computer Entertainment,0.32
5691,WipEout Pulse,2007,Sony Computer Entertainment,0.32
5696,Shenmue II,2002,Microsoft Game Studios,0.32
5700,Fable III,2011,Microsoft Game Studios,0.32
5709,NBA ShootOut,1995,Sony Computer Entertainment,0.31
5718,Mario Golf,1999,Nintendo,0.31
5723,NBA Inside Drive 2003,2002,Microsoft Game Studios,0.31
5730,MLB 07: The Show,2007,Sony Computer Entertainment,0.31
5732,Jampack: Summer 2003 (RP-M),2003,Sony Computer Entertainment,0.31
5739,Tiny Toon Adventures: The Great Beanstalk,1998,Sony Computer Entertainment,0.31
5760,Doubutsu no Mori,2001,Nintendo,0.31
5776,Jampack Volume 12,2005,Sony Computer Entertainment,0.31
5791,Sorcery,2012,Sony Computer Entertainment,0.31
5793,NHL FaceOff 2000,1998,Sony Computer Entertainment,0.31
5797,NCAA Final Four 2002,2001,Sony Computer Entertainment,0.31
5815,KuruKuru Kururin,2001,Nintendo,0.31
5816,Disney's The Emperor's New Groove,2000,Sony Computer Entertainment,0.31
5817,Disney's Stitch: Experiment 626,2002,Sony Computer Entertainment,0.31
5826,Midtown Madness 3,2003,Microsoft Game Studios,0.3
5830,Gameboy Gallery,1995,Nintendo,0.3
5839,Trauma Center: New Blood,2007,Nintendo,0.3
5842,NES Remix,2014,Nintendo,0.3
5844,Jumping Flash!,1995,Sony Computer Entertainment,0.3
5855,Neopets: The Darkest Faerie,2005,Sony Computer Entertainment,0.3
5857,Rhythm Tengoku,2006,Nintendo,0.3
5859,Cart World Series,1997,Sony Computer Entertainment,0.3
5860,Invizimals: Shadow Zone,2010,Sony Computer Entertainment,0.3
5861,24: The Game,2006,Sony Computer Entertainment,0.3
5882,Fossil Fighters (JP sales),2008,Nintendo,0.3
5886,Glory of Heracles,2008,Nintendo,0.3
5899,N3: Ninety-Nine Nights,2006,Microsoft Game Studios,0.3
5949,Trace Memory,2005,Nintendo,0.3
5961,Syphon Filter: Dark Mirror,2006,Sony Computer Entertainment,0.29
5973,Soul Sacrifice Delta,2014,Sony Computer Entertainment,0.29
5990,Punch-Out!!,2007,Nintendo,0.29
6001,Ratchet & Clank: Size Matters,2008,Sony Computer Entertainment,0.29
6008,Starhawk,2012,Sony Computer Entertainment,0.29
6016,Medieval Moves: Deadmund's Quest,2011,Sony Computer Entertainment,0.29
6029,The New Tetris,1999,Nintendo,0.29
6030,Ken Griffey Jr.'s Slugfest,1999,Nintendo,0.29
6043,Fable: The Journey,2012,Microsoft Game Studios,0.29
6046,Just Dance Wii 2,2012,Nintendo,0.29
6053,MLB Pennant Race,1996,Sony Computer Entertainment,0.29
6078,Namco Museum Vol.2,1996,Sony Computer Entertainment,0.29
6083,Tomba! 2: The Evil Swine Return,1999,Sony Computer Entertainment,0.29
6097,Links 2004,2003,Microsoft Game Studios,0.29
6100,Battle & Get! Pokemon Typing DS,2011,Nintendo,0.29
6103,Tales of Phantasia,2003,Nintendo,0.29
6110,SingStar Country,2008,Sony Computer Entertainment,0.28
6113,Hot Shots Golf: World Invitational,2012,Sony Computer Entertainment,0.28
6137,Siren: Blood Curse,2008,Sony Computer Entertainment,0.28
6146,Final Fantasy VI Advance,2006,Nintendo,0.28
6156,Kung Fu Chaos,2003,Microsoft Game Studios,0.28
6157,Mega Man: Dr. Wily's Revenge,1991,Nintendo,0.28
6166,Mega Man II,1991,Nintendo,0.28
6175,Syphon Filter: Dark Mirror,2007,Sony Computer Entertainment,0.28
6180,MLB 07: The Show,2007,Sony Computer Entertainment,0.28
6183,Sing Party,2012,Nintendo,0.28
6190,Dead or Alive,1998,Sony Computer Entertainment,0.28
6220,Patapon 3,2011,Sony Computer Entertainment,0.28
6233,Pokemon Box: Ruby & Sapphire,2003,Nintendo,0.28
6257,Donkey Kong GB: Dinky Kong & Dixie Kong,2000,Nintendo,0.28
6259,ExciteBots: Trick Racing,2009,Nintendo,0.28
6265,Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2,2007,Nintendo,0.27
6270,Tao Feng: Fist of the Lotus,2003,Microsoft Game Studios,0.27
6299,EyePet,2010,Sony Computer Entertainment,0.27
6301,Athens 2004,2004,Sony Computer Entertainment,0.27
6307,Baten Kaitos: Eternal Wings and the Lost Ocean,2003,Nintendo,0.27
6323,RalliSport Challenge 2,2004,Microsoft Game Studios,0.27
6348,Command & Conquer,1999,Nintendo,0.27
6351,Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training,2012,Nintendo,0.27
6372,Magical Vacation,2001,Nintendo,0.27
6379,America's Test Kitchen: Let's Get Cooking,2010,Nintendo,0.27
6381,Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu,2010,Nintendo,0.27
6405,NBA ShootOut 2001,2000,Sony Computer Entertainment,0.27
6412,Battle Arena Toshinden 3,1996,Sony Computer Entertainment,0.27
6442,NBA 07,2006,Sony Computer Entertainment,0.26
6464,NCAA Gamebreaker,1996,Sony Computer Entertainment,0.26
6468,Zoo Tycoon 2: Ultimate Collection,2008,Microsoft Game Studios,0.26
6469,Tomba!,1997,Sony Computer Entertainment,0.26
6479,DS Bungaku Zenshuu,2007,Nintendo,0.26
6491,Inazuma Eleven Strikers,2011,Nintendo,0.26
6493,Final Fantasy V Advance,2006,Nintendo,0.26
6552,MLB 09: The Show,2009,Sony Computer Entertainment,0.26
6553,Polarium,2004,Nintendo,0.26
6556,Classic NES Series: Bomberman,2004,Nintendo,0.26
6573,Drakan: The Ancients' Gates,2002,Sony Computer Entertainment,0.26
6578,Tokyo Jungle,2012,Sony Computer Entertainment,0.26
6584,Fire Emblem: Thracia 776,1999,Nintendo,0.26
6590,Mario & Sonic at the Rio 2016 Olympic Games,2016,Nintendo,0.26
6599,NBA ShootOut 2004,2003,Sony Computer Entertainment,0.26
6603,Metroid Prime Pinball,2005,Nintendo,0.26
6604,Formula One 2001,2001,Sony Computer Entertainment,0.26
6620,Tearaway Unfolded,2015,Sony Computer Entertainment,0.25
6644,Exhibition,2001,Microsoft Game Studios,0.25
6647,Amped 2,2003,Microsoft Game Studios,0.25
6672,WipEout Fusion,2002,Sony Computer Entertainment,0.25
6694,NBA Courtside 2 featuring Kobe Bryant,1999,Nintendo,0.25
6700,Penny Racers,1996,Sony Computer Entertainment,0.25
6705,Freshly-Picked: Tingle's Rosy Rupeeland,2006,Nintendo,0.25
6733,TV Superstars,2010,Sony Computer Entertainment,0.25
6740,WRC: World Rally Championship,2001,Sony Computer Entertainment,0.25
6753,Jumping Flash! 2,1996,Sony Computer Entertainment,0.25
6765,NBA Courtside 2002,2002,Nintendo,0.25
6768,Classic NES Series: Excitebike,2004,Nintendo,0.25
6769,Classic NES Series: Xevious,2004,Nintendo,0.25
6789,Spawn the Eternal,1997,Sony Computer Entertainment,0.24
6790,MLB,2005,Sony Computer Entertainment,0.24
6805,Namco Tennis Smash Court,1995,Sony Computer Entertainment,0.24
6816,DK: King of Swing,2005,Nintendo,0.24
6849,Azurik: Rise of Perathia,2001,Microsoft Game Studios,0.24
6888,Densetsu no Stafi 3,2004,Nintendo,0.24
6890,Ratchet & Clank: Going Commando (JP weekly sales),2003,Sony Computer Entertainment,0.24
6902,Chibi-Robo! Zip Lash,2015,Nintendo,0.24
6909,Viva Pinata: Party Animals,2007,Microsoft Game Studios,0.24
6914,My Street,2003,Sony Computer Entertainment,0.24
6923,Game & Wario,2013,Nintendo,0.24
6927,Covert Ops: Nuclear Dawn,2000,Sony Computer Entertainment,0.24
6932,Nintendo Presents: Crossword Collection,2009,Nintendo,0.24
6979,Girls Mode 3: Kirakira Code,2015,Nintendo,0.23
6980,Meteos,2005,Nintendo,0.23
6993,SingStar Pop Edition,2009,Sony Computer Entertainment,0.23
6999,Carnival Island,2011,Sony Computer Entertainment,0.23
7020,NCAA GameBreaker 2003,2002,Sony Computer Entertainment,0.23
7033,NHL FaceOff 2001,2000,Sony Computer Entertainment,0.23
7039,Last Window: The Secret of Cape West,2010,Nintendo,0.23
7056,Airblade,2001,Sony Computer Entertainment,0.23
7067,Tetris 2 (weekly jp sales),1992,Nintendo,0.23
7072,Naruto Shippuden: Ninja Council 4,2007,Nintendo,0.23
7073,Genji: Dawn of the Samurai,2005,Sony Computer Entertainment,0.23
7082,Super Swing Golf,2006,Nintendo,0.23
7096,Super R-Type,1991,Nintendo,0.23
7111,Ratchet & Clank: Full Frontal Assault,2012,Sony Computer Entertainment,0.23
7114,NCAA GameBreaker 2004,2003,Sony Computer Entertainment,0.23
7118,Buzz! Junior: RoboJam,2007,Sony Computer Entertainment,0.23
7122,Tetris Attack,1996,Nintendo,0.23
7123,NBA ShootOut 2003,2002,Sony Computer Entertainment,0.23
7128,NHL FaceOff 2003,2002,Sony Computer Entertainment,0.23
7176,Hamtaro: Ham-Ham Games,2004,Nintendo,0.22
7264,Kirby's Star Stacker,1997,Nintendo,0.22
7270,Shin Megami Tensei x Fire Emblem,2015,Nintendo,0.22
7272,Disney's Magical Quest Starring Mickey and Minnie,2002,Nintendo,0.22
7273,Spirit Camera: The Cursed Memoir,2012,Nintendo,0.22
7274,NBA 06,2005,Sony Computer Entertainment,0.22
7284,Yoshi Touch & Go (JP sales),2005,Nintendo,0.22
7288,Jackie Chan: Stuntmaster,1999,Sony Computer Entertainment,0.22
7292,Code Name: S.T.E.A.M.,2015,Nintendo,0.22
7319,Are You Smarter Than a 5th Grader? Back to School,2010,Nintendo,0.21
7323,SingStar: Back to the 80s,2011,Sony Computer Entertainment,0.21
7326,NBA,2005,Sony Computer Entertainment,0.21
7404,Hot Shots Tennis: Get a Grip,2010,Sony Computer Entertainment,0.21
7419,Heroes of Ruin,2012,Nintendo,0.21
7428,PoPoLoCrois Monogatari II,2000,Sony Computer Entertainment,0.21
7430,Vampire Rain,2007,Microsoft Game Studios,0.21
7441,Solatorobo: Red the Hunter,2010,Nintendo,0.21
7469,Yarudora Series Vol. 2: Kisetsu wo Dakishimete,1998,Sony Computer Entertainment,0.21
7483,Little Battlers eXperience: Baku Boost,2012,Nintendo,0.21
7492,Kung Fu Rider,2010,Sony Computer Entertainment,0.21
7507,Trade & Battle: Card Hero,2000,Nintendo,0.2
7522,Buzz! The Schools Quiz,2008,Sony Computer Entertainment,0.2
7546,Tekken 3D: Prime Edition,2012,Nintendo,0.2
7549,MLB 10: The Show,2010,Sony Computer Entertainment,0.2
7550,State of Decay,2015,Microsoft Game Studios,0.2
7575,MLB 12: The Show,2012,Sony Computer Entertainment,0.2
7605,Speed Punks,1998,Sony Computer Entertainment,0.2
7614,NCAA Final Four 2004,2003,Sony Computer Entertainment,0.2
7627,NBA 07,2006,Sony Computer Entertainment,0.2
7633,The Con,2005,Sony Computer Entertainment,0.2
7657,Namco Museum Vol.4,1996,Sony Computer Entertainment,0.2
7701,Ore no Shikabane o Koete Yuke,2011,Sony Computer Entertainment,0.2
7732,NHL FaceOff 2001,2001,Sony Computer Entertainment,0.2
7742,ESA Foundation Compilation,2005,Sony Computer Entertainment,0.19
7745,Ninja Gaiden 3,2012,Nintendo,0.19
7775,NCAA Final Four 2003,2002,Sony Computer Entertainment,0.19
7803,Disney's Magical Mirror Starring Mickey Mouse,2002,Nintendo,0.19
7840,SingStar Pop Vol.2,2008,Sony Computer Entertainment,0.19
7844,Frequency,2001,Sony Computer Entertainment,0.19
7852,Jampack: Summer 2003 (RP-T),2003,Sony Computer Entertainment,0.19
7856,Sudeki,2004,Microsoft Game Studios,0.19
7859,"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",2009,Sony Computer Entertainment,0.19
7868,Disney Magic World 2,2015,Nintendo,0.19
7894,The Heavy Rain and Beyond: Two Souls Collection,2016,Sony Computer Entertainment,0.19
7903,Active Health with Carol Vorderman,2009,Nintendo,0.19
7909,Princess Maker: Yumemiru Yosei,1997,Sony Computer Entertainment,0.19
7917,Sudoku Gridmaster (JP sales),2006,Nintendo,0.19
7929,Daigasso! Band Brothers,2004,Nintendo,0.19
7930,Rise of the Kasai,2005,Sony Computer Entertainment,0.19
7947,Face Training,2007,Nintendo,0.19
7961,NCAA Final Four 2001,2000,Sony Computer Entertainment,0.19
7977,Dance Central: Spotlight,2014,Microsoft Game Studios,0.19
7979,Magical Starsign (US sales),2006,Nintendo,0.19
7989,Star Wars: The Clone Wars & Tetris Worlds,2002,Microsoft Game Studios,0.19
7997,EyePet & Friends,2011,Sony Computer Entertainment,0.19
8023,Siren,2003,Sony Computer Entertainment,0.18
8033,Lips: Party Classics,2010,Microsoft Game Studios,0.18
8039,GameBoy Wars,1991,Nintendo,0.18
8040,Amplitude,2003,Sony Computer Entertainment,0.18
8053,Klonoa: Door to Phantomile,1997,Sony Computer Entertainment,0.18
8063,TalkMan (Japan),2005,Sony Computer Entertainment,0.18
8079,Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,2004,Nintendo,0.18
8091,Jampack Vol. 1,1996,Sony Computer Entertainment,0.18
8120,Daigasso! Band Brothers P,2013,Nintendo,0.18
8124,SingStar Motown,2009,Sony Computer Entertainment,0.18
8158,EyeToy: Groove,2003,Sony Computer Entertainment,0.18
8212,EyeToy: Kinetic,2005,Sony Computer Entertainment,0.17
8235,Project Spark,2014,Microsoft Game Studios,0.17
8245,Smash Court Tennis Pro Tournament,2002,Sony Computer Entertainment,0.17
8249,NBA Inside Drive 2004,2003,Microsoft Game Studios,0.17
8257,Gretzky NHL 2005,2004,Sony Computer Entertainment,0.17
8268,PlayStation Move Heroes,2011,Sony Computer Entertainment,0.17
8273,Exhibition Volume 02,2003,Microsoft Game Studios,0.17
8276,Sudoku Gridmaster,2006,Nintendo,0.17
8277,Disney's Atlantis: The Lost Empire,2001,Sony Computer Entertainment,0.17
8296,Age of Empires III: Complete Collection,2009,Microsoft Game Studios,0.17
8302,N3 II: Ninety-Nine Nights,2010,Microsoft Game Studios,0.17
8303,The King of Fighters '95,1996,Sony Computer Entertainment,0.17
8314,Pursuit Force: Extreme Justice,2007,Sony Computer Entertainment,0.17
8326,Buzz! Brain of the UK,2009,Sony Computer Entertainment,0.17
8327,NBA 09: The Inside,2008,Sony Computer Entertainment,0.17
8345,Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,2004,Nintendo,0.17
8365,Fuzion Frenzy 2,2007,Microsoft Game Studios,0.17
8387,World Tour Soccer 2006,2004,Sony Computer Entertainment,0.17
8398,Custom Robo Arena,2006,Nintendo,0.17
8405,Pursuit Force,2005,Sony Computer Entertainment,0.17
8406,Densetsu no Stafi 4,2006,Nintendo,0.17
8428,Street Fighter Alpha 2,1996,Nintendo,0.17
8442,NBA 09: The Inside,2008,Sony Computer Entertainment,0.17
8451,Itoi Shigesato no Bass Tsuri No. 1,1997,Nintendo,0.17
8452,Cubivore: Survival of the Fittest,2002,Nintendo,0.17
8468,MLB 16: The Show,2016,Sony Computer Entertainment,0.16
8471,PoPoLoCrois: Hajimari no Bouken,2002,Sony Computer Entertainment,0.16
8479,World Tour Soccer 2005,2004,Sony Computer Entertainment,0.16
8496,True Swing Golf,2005,Nintendo,0.16
8516,King's Field,1995,Sony Computer Entertainment,0.16
8543,DS Rakubiki Jiten,2005,Nintendo,0.16
8590,Starcraft 64,2000,Nintendo,0.16
8614,Shinobido 2: Tales of the Ninja,2011,Sony Computer Entertainment,0.16
8621,MLB 11: The Show,2011,Sony Computer Entertainment,0.16
8630,NCAA Final Four 2001,2000,Sony Computer Entertainment,0.16
8643,F-Zero: GP Legend,2003,Nintendo,0.16
8669,StarBlade α,1995,Sony Computer Entertainment,0.16
8680,Culdcept,2012,Nintendo,0.16
8685,Halo Triple Pack,2005,Microsoft Game Studios,0.16
8718,Muppet RaceMania,1999,Sony Computer Entertainment,0.15
8719,Namco Museum Vol.5,1996,Sony Computer Entertainment,0.15
8743,Blinx 2: Masters of Time & Space,2004,Microsoft Game Studios,0.15
8758,Disney's Story Studio: Disney's Mulan,1999,Sony Computer Entertainment,0.15
8777,Project Sylpheed: Arc of Deception,2006,Microsoft Game Studios,0.15
8779,NCAA GameBreaker 2001,2000,Sony Computer Entertainment,0.15
8819,Kowloon's Gate,1997,Sony Computer Entertainment,0.15
8821,Kingdom of Paradise,2005,Sony Computer Entertainment,0.15
8837,NBA ShootOut 2001,2001,Sony Computer Entertainment,0.15
8843,NBA 09: The Inside,2008,Sony Computer Entertainment,0.15
8856,Oreshika: Tainted Bloodlines,2014,Sony Computer Entertainment,0.15
8857,White Knight Chronicles: Origins,2011,Sony Computer Entertainment,0.15
8877,Tetris Attack,1995,Nintendo,0.15
8900,Geist,2005,Nintendo,0.15
8902,Cardinal Syn,1998,Sony Computer Entertainment,0.15
8963,High Velocity Bowling,2010,Sony Computer Entertainment,0.15
8968,Turbo Prop Racing,1997,Sony Computer Entertainment,0.15
8976,MotoGP 2: Ultimate Racing Technology,2001,Sony Computer Entertainment,0.15
8989,Wizardry VII: Gadeia no Houshu,1995,Sony Computer Entertainment,0.15
8996,Grabbed by the Ghoulies,2003,Microsoft Game Studios,0.14
9019,The Fifth Element,1998,Sony Computer Entertainment,0.14
9024,Okaeri! Chibi-Robo! Happy Richie Oosouji,2009,Nintendo,0.14
9052,Doshin the Giant,2002,Nintendo,0.14
9091,PaRappa The Rapper 2,2001,Sony Computer Entertainment,0.14
9099,Xevious 3D/G+,1997,Sony Computer Entertainment,0.14
9101,Gretzky NHL 06,2005,Sony Computer Entertainment,0.14
9115,Mr. Driller: Drill Spirits,2004,Nintendo,0.14
9126,Destruction Derby Raw,2000,Sony Computer Entertainment,0.14
9130,World Tour Soccer 2003,2002,Sony Computer Entertainment,0.14
9142,Gretzky NHL 06,2005,Sony Computer Entertainment,0.14
9148,NBA ShootOut 2002,2001,Sony Computer Entertainment,0.14
9149,SingStar Vol. 3,2008,Sony Computer Entertainment,0.14
9150,The Granstream Saga,1997,Sony Computer Entertainment,0.14
9164,Epidemic,1995,Sony Computer Entertainment,0.14
9169,Ecco the Dolphin: Defender of the Future,2002,Sony Computer Entertainment,0.14
9185,Lips: I Love The 80s,2010,Microsoft Game Studios,0.14
9212,Reality Fighters,2012,Sony Computer Entertainment,0.14
9234,Ape Escape Academy (jp sales),2004,Sony Computer Entertainment,0.14
9237,PaRappa The Rapper,2006,Sony Computer Entertainment,0.14
9243,Cyber Sled,1995,Sony Computer Entertainment,0.14
9286,Magnetica,2006,Nintendo,0.14
9295,World Tour Soccer 2002,2001,Sony Computer Entertainment,0.14
9296,Interactive Sampler Disc 6,1997,Sony Computer Entertainment,0.14
9302,Vampire Night,2001,Sony Computer Entertainment,0.14
9303,Kororinpa: Marble Mania,2006,Nintendo,0.14
9367,Sentou Kokka Air Land Battle,1995,Sony Computer Entertainment,0.13
9381,SingStar Latino,2007,Sony Computer Entertainment,0.13
9396,MLB 11: The Show,2011,Sony Computer Entertainment,0.13
9432,Destruction Derby Arenas,2004,Sony Computer Entertainment,0.13
9451,NBA 08,2007,Sony Computer Entertainment,0.13
9463,Illusion of Gaia,1993,Nintendo,0.13
9481,Sin and Punishment,2000,Nintendo,0.13
9494,Secret Agent Clank,2008,Sony Computer Entertainment,0.13
9500,NightCaster,2002,Microsoft Game Studios,0.13
9504,MLB 13: The Show,2013,Sony Computer Entertainment,0.13
9507,Ape Escape 3,2005,Sony Computer Entertainment,0.13
9538,Namco Soccer Prime Goal,1995,Sony Computer Entertainment,0.13
9539,NBA 08,2007,Sony Computer Entertainment,0.13
9569,Pokémon: For Ho-Oh the Bells Toll!: Game Boy Advance Video,2004,Nintendo,0.13
9578,Gravity Rush Remastered,2015,Sony Computer Entertainment,0.13
9645,Quantum Redshift,2002,Microsoft Game Studios,0.13
9646,Smash Court Tennis Pro Tournament 2,2004,Sony Computer Entertainment,0.13
9681,After Hours Athletes,2011,Sony Computer Entertainment,0.12
9738,Eyeshield 21: Max Devil Power,2006,Nintendo,0.12
9760,Voodoo Vince,2003,Microsoft Game Studios,0.12
9765,Neopets Petpet Adventures: The Wand of Wishing,2006,Sony Computer Entertainment,0.12
9783,The God of War Trilogy,2010,Sony Computer Entertainment,0.12
9788,Go! Sudoku,2005,Sony Computer Entertainment,0.12
9815,Fat Princess: Fistful of Cake,2010,Sony Computer Entertainment,0.12
9855,PixelJunk Monsters Deluxe,2010,Sony Computer Entertainment,0.12
9882,Everybody Dance,2011,Sony Computer Entertainment,0.12
9890,MLB Inside Pitch 2003,2003,Microsoft Game Studios,0.12
9971,Stolen Song,1998,Sony Computer Entertainment,0.12
9980,Sengoku Cyber: Fujimaru Jigokuhen,1995,Sony Computer Entertainment,0.12
9982,ASH: Archaic Sealed Heat,2007,Nintendo,0.12
10033,SingStar Latino,2009,Sony Computer Entertainment,0.11
10037,Pocket Soccer League: Calciobit,2012,Nintendo,0.11
10052,Phantom Dust,2004,Microsoft Game Studios,0.11
10074,Fatal Frame: Maiden of Black Water,2014,Nintendo,0.11
10079,Start the Party! Save the World,2011,Sony Computer Entertainment,0.11
10101,Zangeki no Reginleiv,2010,Nintendo,0.11
10109,Invizimals: The Lost Tribes,2011,Sony Computer Entertainment,0.11
10145,Kousoku Card Battle: Card Hero,2007,Nintendo,0.11
10190,Brave Story: New Traveler (US sales),2006,Sony Computer Entertainment,0.11
10198,Odama,2006,Nintendo,0.11
10203,Soma Bringer,2008,Nintendo,0.11
10207,Go! Sudoku (JP sales),2005,Sony Computer Entertainment,0.11
10250,Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,2004,Nintendo,0.11
10256,NHL Rivals 2004,2003,Microsoft Game Studios,0.11
10305,Irozuki Tingle no Koi no Balloon Trip,2009,Nintendo,0.11
10320,Picross 3D 2,2015,Nintendo,0.11
10324,Patapon 2,2008,Sony Computer Entertainment,0.11
10338,Victory Zone,1995,Sony Computer Entertainment,0.11
10342,Dynasty Warriors Advance,2005,Nintendo,0.11
10352,Mega Man Battle Network 5: Double Team DS (JP sales),2005,Nintendo,0.11
10372,Jampack Volume 14 (RP-T),2006,Sony Computer Entertainment,0.11
10380,Carnage Heart,1995,Sony Computer Entertainment,0.11
10401,Yuusha no Kuse ni Namaikida Or 3D,2010,Sony Computer Entertainment,0.11
10406,Project: Horned Owl,1995,Sony Computer Entertainment,0.11
10409,SingStar Guitar,2010,Sony Computer Entertainment,0.11
10450,Fatal Frame 2: Wii Edition,2012,Nintendo,0.1
10471,Mickey's Speedway USA (weekly JP sales),2000,Nintendo,0.1
10473,Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!,2006,Sony Computer Entertainment,0.1
10479,Gretzky NHL,2005,Sony Computer Entertainment,0.1
10484,Ridge Racer 2,2006,Sony Computer Entertainment,0.1
10487,Dropship: United Peace Force,2002,Sony Computer Entertainment,0.1
10504,Doko Demo Issho,2004,Sony Computer Entertainment,0.1
10512,Death By Degrees,2005,Sony Computer Entertainment,0.1
10519,ESA Game Pack,2010,Sony Computer Entertainment,0.1
10579,Project Hacker: Kakusei,2006,Nintendo,0.1
10631,L'Aigle de Guerre,2001,Nintendo,0.1
10661,Ghost in the Shell,1997,Sony Computer Entertainment,0.1
10672,Sneakers,2002,Microsoft Game Studios,0.1
10674,Crime Crackers,1994,Sony Computer Entertainment,0.1
10685,Exhibition Volume 03,2003,Microsoft Game Studios,0.1
10693,Age of Empires II: The Age of Kings,1999,Microsoft Game Studios,0.1
10707,Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,2009,Nintendo,0.1
10722,Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,2004,Nintendo,0.1
10742,EyeToy: Operation Spy,2005,Sony Computer Entertainment,0.1
10743,Zoo Tycoon (2013),2013,Microsoft Game Studios,0.1
10749,Famicom Mini: Mappy,2004,Nintendo,0.1
10781,EyeCreate,2007,Sony Computer Entertainment,0.1
10784,Touch Mechanic,2008,Nintendo,0.1
10793,Steel Battalion,2002,Microsoft Game Studios,0.1
10816,ReCore,2016,Microsoft Game Studios,0.1
10818,Halo 2,2007,Microsoft Game Studios,0.1
10826,Disney's Aladdin in Nasira's Revenge,2000,Sony Computer Entertainment,0.09
10834,Whacked!,2002,Microsoft Game Studios,0.09
10843,SingStar Apres-Ski Party 2,2010,Sony Computer Entertainment,0.09
